     timestamp        |   TestCR   |         NW arch         |       NW Activation Funcs      | epoch | initLR | LRthres | LRtype | LRScaling | momLower | momUpper | dropType | earlySt | maxFail | weightInit |   L1  |   L2  | maxNorm
03-03-18_20-14-44-228 |     0.4291 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-36-15-188 |     0.4241 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       5 |      1 |     0.500 |        5 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-56-50-991 |     0.4154 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       5 |      2 |     0.500 |        5 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_21-14-47-121 |     0.4244 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       5 |      2 |     0.500 |        5 |       10 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_22-04-59-950 |     0.4218 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       3 |      2 |     0.500 |        3 |       10 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-16-08-226 |     0.4193 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       5 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-20-37-499 |     0.4182 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       5 |      1 |     0.500 |        5 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-23-38-407 |     0.4154 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      1 |     0.500 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-27-41-682 |     0.4065 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      10 |      3 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-43-34-174 |     0.4082 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       2 |      3 |     0.500 |        2 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-47-23-335 |     0.4160 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      20 |      3 |     0.500 |        2 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-48-50-436 |     0.3965 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      10 |      2 |     0.900 |        2 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-52-53-592 |     0.4235 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.900 |        2 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-55-16-365 |     0.4182 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       5 |      2 |     0.900 |        2 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-57-04-308 |     0.4074 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       5 |      2 |     0.900 |        5 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_12-58-58-782 |     0.4199 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.900 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-00-46-459 |     0.4202 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.950 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-03-50-836 |     0.4291 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.850 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-08-00-759 |     0.4207 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.800 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-13-22-564 |     0.4255 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.800 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-16-10-053 |     0.4302 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.850 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-23-12-905 |     0.3441 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.850 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-32-03-353 |     0.4266 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-38-59-574 |     0.4561 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0300 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-46-03-346 |     0.4232 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0300 |       1 |      2 |     0.950 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_13-56-33-008 |     0.4611 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_14-03-00-468 |     0.4536 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.1000 |       1 |      2 |     0.950 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_14-20-01-000 |     0.4600 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0600 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_14-28-09-512 |     0.4508 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0400 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_14-34-51-007 |     0.4411 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.950 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_14-41-56-126 |     0.4525 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_20-15-56-756 |     0.4062 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0100 |      10 |      1 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_20-23-12-921 |     0.4475 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_20-28-45-036 |     0.3605 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
04-03-18_20-33-45-379 |     0.4076 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0100 |      10 |      1 |     0.990 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_11-04-52-385 |     0.4188 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      2 |     0.990 |        1 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_11-12-16-819 |     0.4366 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_11-18-10-455 |     0.4419 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_11-26-25-352 |     0.4575 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_11-40-16-215 |     0.4798 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_11-53-29-391 |     0.4790 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.980 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_12-11-49-271 |     0.4865 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_13-03-42-474 |     0.4592 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.990 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.001 |  0.000
06-03-18_13-22-22-047 |     0.4592 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.001 |  0.000
06-03-18_13-41-30-315 |     0.4912 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_18-55-26-117 |     0.4762 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_20-04-40-311 |     0.4751 |   750   750   500     7 |   ReLu    ReLu    sigm softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_20-22-09-309 |     0.4305 |   750   750   500     7 |   ReLu    ReLu    sigm softmax |   100 | 0.0500 |       1 |      2 |     0.950 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_20-52-44-973 |     0.4851 |   750   750   500     7 |   ReLu    ReLu    sigm softmax |   100 | 0.0400 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_21-13-24-259 |     0.4792 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.999 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_21-29-53-016 |     0.4851 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0400 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_21-56-59-483 |     0.4882 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.1000 |       1 |      2 |     0.950 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_22-14-14-901 |     0.4804 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       20 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
06-03-18_22-34-45-931 |     0.4737 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |       40 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  3.000
06-03-18_23-12-00-526 |     0.4834 |   750   750   500     7 |   ReLu    ReLu    ReLu softmax |   100 | 0.0500 |       1 |      2 |     0.995 |        1 |        2 |        1 |       0 |       5 |          3 | 0.000 | 0.000 |  0.000
